NChap1_final_00000006	Y1	99.740	385	1	0	1	385	534	343088973	343088589	343398141	0.0	706	382
NChap1_final_00000006	Y1	100.000	82	0	0	453	534	534	343087368	343087287	343398141	1.04e-34	152	82
NChap1_final_00000006	Y1	98.649	74	1	0	385	458	534	343088384	343088311	343398141	1.36e-28	132	71
NChap1_final_00000014	Y1	99.853	682	1	0	1	682	1095	343040025	343040706	343398141	0.0	1254	679
NChap1_final_00000014	Y1	99.636	275	1	0	821	1095	1095	343041071	343041345	343398141	5.27e-140	503	272
NChap1_final_00000014	Y1	99.306	144	1	0	680	823	1095	343040821	343040964	343398141	3.50e-67	261	141
NChap1_final_00000014	A1	100.000	28	0	0	1042	1069	1095	126427121	126427148	467141259	2.29e-04	52.8	28
NChap1_final_00000030	Y1	99.765	426	1	0	172	597	597	342878751	342879176	343398141	0.0	782	423
NChap1_final_00000030	Y1	100.000	172	0	0	1	172	597	342878479	342878650	343398141	1.09e-84	318	172
NChap1_final_00000040	Y1	98.979	979	10	0	1	979	1527	342786989	342786011	343398141	0.0	1753	949
NChap1_final_00000040	Y1	99.528	212	1	0	1072	1283	1527	342785515	342785304	343398141	7.78e-105	387	209
NChap1_final_00000040	Y1	98.907	183	2	0	1282	1464	1527	342785220	342785038	343398141	4.78e-87	327	177
NChap1_final_00000040	Y1	100.000	98	0	0	975	1072	1527	342785933	342785836	343398141	3.94e-43	182	98
NChap1_final_00000040	A2	100.000	70	0	0	1458	1527	1527	142274545	142274476	327917628	1.45e-27	130	70
NChap1_final_00000040	A2	100.000	68	0	0	1460	1527	1527	161255925	161255858	327917628	1.87e-26	126	68
NChap1_final_00000040	A2	100.000	67	0	0	1461	1527	1527	304792372	304792306	327917628	6.74e-26	124	67
NChap1_final_00000040	A2	100.000	66	0	0	1462	1527	1527	325028929	325028864	327917628	2.42e-25	122	66
NChap1_final_00000040	A2	97.143	70	2	0	1458	1527	1527	4040993	4040924	327917628	3.13e-24	119	64
NChap1_final_00000040	A1	100.000	68	0	0	1460	1527	1527	226482952	226483019	467141259	1.87e-26	126	68
NChap1_final_00000040	A1	96.104	77	3	0	1451	1527	1527	278292428	278292504	467141259	1.87e-26	126	68
NChap1_final_00000040	A1	100.000	68	0	0	1460	1527	1527	303669675	303669742	467141259	1.87e-26	126	68
NChap1_final_00000040	A1	100.000	64	0	0	1464	1527	1527	199065658	199065595	467141259	3.13e-24	119	64
NChap1_final_00000040	A4	97.297	74	1	1	1455	1527	1527	37395123	37395196	174131248	6.74e-26	124	67
NChap1_final_00000040	Y2	100.000	66	0	0	1462	1527	1527	21022513	21022578	347874410	2.42e-25	122	66
NChap1_final_00000040	Y2	98.438	64	1	0	1464	1527	1527	2980965	2981028	347874410	1.46e-22	113	61
NChap1_final_00000059	Y1	100.000	197	0	0	625	821	1026	342679897	342679701	343398141	2.43e-98	364	197
NChap1_final_00000059	Y1	99.435	177	1	0	1	177	1026	342681443	342681267	343398141	1.48e-85	322	174
NChap1_final_00000059	Y1	99.259	135	1	0	820	954	1026	342679403	342679269	343398141	3.30e-62	244	132
NChap1_final_00000059	Y1	99.254	134	0	1	247	379	1026	342680711	342680578	343398141	4.26e-61	241	130
NChap1_final_00000059	Y1	100.000	109	0	0	374	482	1026	342680446	342680338	343398141	2.01e-49	202	109
NChap1_final_00000059	Y1	100.000	78	0	0	175	252	1026	342680876	342680799	343398141	3.44e-32	145	78
NChap1_final_00000059	Y1	100.000	77	0	0	950	1026	1026	342679180	342679104	343398141	1.24e-31	143	77
NChap1_final_00000059	Y1	100.000	75	0	0	553	627	1026	342680058	342679984	343398141	1.60e-30	139	75
NChap1_final_00000059	Y1	98.649	74	1	0	481	554	1026	342680224	342680151	343398141	2.68e-28	132	71
NChap1_final_00000059	Y2	97.368	76	2	0	304	379	1026	340908814	340908739	347874410	9.63e-28	130	70
NChap1_final_00000158	Y1	98.728	393	5	0	852	1244	1337	341455960	341456352	343398141	0.0	699	378
NChap1_final_00000158	Y1	100.000	161	0	0	1	161	1337	341453646	341453806	343398141	3.27e-78	298	161
NChap1_final_00000158	Y1	100.000	133	0	0	159	291	1337	341453881	341454013	343398141	1.20e-62	246	133
NChap1_final_00000158	Y1	100.000	130	0	0	512	641	1337	341455086	341455215	343398141	5.60e-61	241	130
NChap1_final_00000158	Y1	100.000	126	0	0	726	851	1337	341455738	341455863	343398141	9.36e-59	233	126
NChap1_final_00000158	Y1	100.000	124	0	0	291	414	1337	341454686	341454809	343398141	1.21e-57	230	124
NChap1_final_00000158	Y1	99.020	102	1	0	413	514	1337	341454899	341455000	343398141	9.57e-44	183	99
NChap1_final_00000158	Y1	96.939	98	1	2	630	725	1337	341455553	341455650	343398141	1.25e-37	163	88
NChap1_final_00000158	Y1	97.872	94	2	0	1244	1337	1337	341458430	341458523	343398141	1.25e-37	163	88
NChap1_final_00000185	Y1	99.823	566	1	0	767	1332	1520	341225444	341226009	343398141	0.0	1040	563
NChap1_final_00000185	Y1	100.000	273	0	0	498	770	1520	341225091	341225363	343398141	2.05e-140	505	273
